1,4
1,2
1,9
1,6
1,5
1,3
1,1
1,8
2,3
2,6
2,5
2,4
3,6
4,9
5,5
5,2
6,2
6,9
7,2
8,9
9,9
10,9
11,2
12,9
13,9
14,9
15,9
16,9
17,3
17,9
18,9
19,4
19,2
20,3
21,9
22,3
23,9
23,3
24,5
25,9
25,5
26,9
27,5
27,3
28,3
29,9
30,5
30,3
31,3
32,4
32,2
33,9
33,4
34,3
34,4
35,2
36,4
37,5
37,4
38,4
38,2
39,4
40,9
41,9
41,5
41,2
42,9
43,3
43,5
44,5
45,5
46,5
47,3
48,5
48,4
49,9
50,5
51,4
51,3
52,5
53,4
54,9
55,2
56,4
57,5
58,9
59,4
60,3
60,4
61,6
62,6
63,6
64,6
65,3
65,6
66,3
67,3
67,6
68,6
69,3
70,3
70,6
71,3
71,5
72,6
73,6
73,2
74,5
75,6
76,6
77,6
78,6
79,9
80,6
80,2
80,4
81,9
82,4
83,6
83,9
83,4
84,6
84,5
85,4
86,9
86,5
87,5
87,2
88,5
89,5
90,5
91,4
92,9
93,9
93,7
94,9
95,9
96,9
96,7
96,2
97,9
98,9
99,6
100,4
101,6
102,9
102,7
103,6
104,6
104,9
105,8
106,8
106,9
107,8
107,6
108,8
109,8
110,2
110,9
111,8
111,9
112,9
113,9
114,8
114,9
115,9
116,8
116,1
117,7
118,1
119,9
120,9
120,7
121,9
121,2
122,9
122,7
123,9
124,9
125,8
125,9
126,9
126,2
127,8
128,9
129,9
129,7
129,2
130,8
130,9
131,9
132,7
133,8
133,9
134,9
135,7
135,2
136,6
137,2
138,2
139,3
140,4
141,7
141,3
142,3
143,9
143,4
144,7
144,3
145,9
145,6
146,9
146,7
147,7
147,6
148,8
148,9
148,6
149,7
150,7
150,6
150,9
151,7
151,6
152,8
152,9
153,6
154,8
154,7
155,8
155,1
155,9
156,8
156,6
156,4
157,3
158,3
159,3
160,7
161,8
162,7
162,3
163,7
164,8
164,7
164,3
164,9
165,3
166,7
166,3
167,9
168,9
168,7
168,3
169,8
169,9
169,3
170,7
171,8
171,9
171,3
172,9
172,7
173,3
174,7
175,7
176,9
177,8
177,9
177,7
178,9
179,9
180,7
181,9
181,4
181,8
182,7
183,8
183,9
184,8
184,4
185,7
186,8
186,9
187,8
188,8
188,7
189,8
190,7
190,4
191,9
191,4
192,4
193,4
193,7
194,4
195,4
196,8
196,4
197,7
198,8
198,4
199,8
199,9
200,7
201,9
202,9
203,8
204,9
205,9
205,4
206,4
207,4
208,4
209,5
209,4
210,4
211,5
211,4
212,4
213,5
214,4
215,5
216,4
216,7
217,7
218,7
219,7
220,5
221,5
221,6
222,6
223,6
224,6
225,1
226,6
227,1
228,6
229,6
230,6
231,6
232,6
233,7
234,5
235,2
236,2
236,5
237,2
238,5
239,5
240,5
241,9
242,9
243,9
244,2
245,9
246,2
246,9
247,6
248,6
249,6
250,6
251,6
252,6
253,5
254,9
255,9
256,9
257,9
258,2
259,9
260,9
260,4
261,9
262,2
262,9
263,4
264,9
265,4
266,5
267,4
268,2
268,4
269,5
270,4
271,9
272,5
273,9
274,9
275,9
276,9
277,4
278,5
278,7
279,3
280,4
281,4
282,2
283,4
284,4
285,2
285,4
286,2
286,4
287,4
288,4
289,9
290,9
291,4
292,7
293,9
293,3
294,7
294,4
295,2
295,9
296,9
297,2
298,3
299,9
300,9
301,9
302,7
303,7
304,9
305,9
306,9
307,9
308,7
309,9
310,9
311,9
312,5
312,2
312,9
312,6
312,3
312,4
312,7
312,1
