1,1,870,184,153,126,1,-1,-1,-1
1,2,808,276,173,205,1,-1,-1,-1
1,3,196,23,326,227,1,-1,-1,-1
1,4,546,306,179,329,1,-1,-1,-1
1,5,388,331,174,286,1,-1,-1,-1
1,6,163,263,196,369,1,-1,-1,-1
1,7,424,77,273,274,1,-1,-1,-1
1,8,252,157,245,267,1,-1,-1,-1
22,8,274,156,251,313,1,-1,-1,-1
34,9,520,315,192,329,1,-1,-1,-1
37,9,503,321,209,329,1,-1,-1,-1
37,10,387,314,146,303,1,-1,-1,-1
37,11,264,155,233,321,1,-1,-1,-1
40,9,491,328,194,329,1,-1,-1,-1
52,12,297,75,205,357,1,-1,-1,-1
58,13,808,276,169,183,1,-1,-1,-1
58,12,290,87,248,314,1,-1,-1,-1
61,12,287,93,269,293,1,-1,-1,-1
64,12,289,101,316,291,1,-1,-1,-1
67,14,495,312,180,329,1,-1,-1,-1
67,15,386,350,164,267,1,-1,-1,-1
67,12,349,183,314,243,1,-1,-1,-1
70,12,409,254,337,159,1,-1,-1,-1
73,16,496,309,166,329,1,-1,-1,-1
73,12,509,248,269,223,1,-1,-1,-1
76,16,497,307,168,329,1,-1,-1,-1
76,12,573,253,179,288,1,-1,-1,-1
79,16,497,305,125,329,1,-1,-1,-1
79,12,588,288,146,305,1,-1,-1,-1
82,12,587,299,145,300,1,-1,-1,-1
85,17,397,100,345,251,1,-1,-1,-1
85,12,585,310,144,294,1,-1,-1,-1
112,17,381,108,345,251,1,-1,-1,-1
118,18,163,263,196,422,1,-1,-1,-1
127,19,384,241,154,377,1,-1,-1,-1
181,20,496,276,125,329,1,-1,-1,-1
187,20,496,319,125,287,1,-1,-1,-1
187,21,163,263,196,453,1,-1,-1,-1
196,21,157,236,196,480,1,-1,-1,-1
202,22,381,299,142,336,1,-1,-1,-1
202,21,143,247,196,469,1,-1,-1,-1
202,23,388,107,345,251,1,-1,-1,-1
208,21,134,253,196,458,1,-1,-1,-1
214,21,140,200,196,446,1,-1,-1,-1
217,21,143,173,196,441,1,-1,-1,-1
235,24,380,324,137,294,1,-1,-1,-1
238,25,353,106,358,251,1,-1,-1,-1
250,25,353,120,357,251,1,-1,-1,-1
295,26,143,244,196,410,1,-1,-1,-1
295,25,390,109,353,251,1,-1,-1,-1
319,25,410,103,351,251,1,-1,-1,-1
352,27,342,258,175,360,1,-1,-1,-1
358,28,163,263,196,385,1,-1,-1,-1
370,29,196,23,327,210,1,-1,-1,-1
373,29,196,23,327,208,1,-1,-1,-1
379,29,196,23,329,208,1,-1,-1,-1
382,29,196,23,337,234,1,-1,-1,-1
385,30,464,88,345,251,1,-1,-1,-1
388,31,196,23,335,253,1,-1,-1,-1
394,32,342,288,175,330,1,-1,-1,-1
394,33,513,91,333,223,1,-1,-1,-1
403,33,577,116,270,278,1,-1,-1,-1
406,33,561,124,286,198,1,-1,-1,-1
412,33,641,140,207,333,1,-1,-1,-1
421,33,631,158,205,331,1,-1,-1,-1
430,34,145,166,200,409,1,-1,-1,-1
442,35,593,310,109,294,1,-1,-1,-1
475,36,147,142,203,457,1,-1,-1,-1
502,37,651,158,183,309,1,-1,-1,-1
508,38,102,251,205,431,1,-1,-1,-1
568,38,151,263,208,385,1,-1,-1,-1
568,39,621,148,212,254,1,-1,-1,-1
571,40,342,299,175,319,1,-1,-1,-1
583,41,485,322,125,329,1,-1,-1,-1
586,42,574,336,142,268,1,-1,-1,-1
607,43,196,23,329,257,1,-1,-1,-1
607,44,604,142,229,222,1,-1,-1,-1
646,45,519,302,110,329,1,-1,-1,-1
649,46,377,325,175,312,1,-1,-1,-1
658,47,813,276,162,178,1,-1,-1,-1
661,48,605,142,228,222,1,-1,-1,-1
664,49,369,261,175,361,1,-1,-1,-1
664,50,151,200,182,448,1,-1,-1,-1
664,51,605,321,118,283,1,-1,-1,-1
694,52,508,300,110,329,1,-1,-1,-1
715,53,332,312,175,331,1,-1,-1,-1
718,54,812,276,171,173,1,-1,-1,-1
718,55,600,310,129,294,1,-1,-1,-1
721,54,816,283,167,167,1,-1,-1,-1
724,54,819,288,161,171,1,-1,-1,-1
727,54,818,283,160,187,1,-1,-1,-1
736,54,815,283,159,205,1,-1,-1,-1
736,56,151,217,163,431,1,-1,-1,-1
736,57,588,285,129,294,1,-1,-1,-1
739,58,508,300,138,329,1,-1,-1,-1
748,58,484,307,138,329,1,-1,-1,-1
751,59,196,23,320,241,1,-1,-1,-1
763,60,342,316,175,302,1,-1,-1,-1
766,61,588,295,129,308,1,-1,-1,-1
775,62,872,191,158,112,1,-1,-1,-1
775,63,196,23,327,268,1,-1,-1,-1
784,64,342,296,170,350,1,-1,-1,-1
796,65,598,305,118,300,1,-1,-1,-1
799,66,137,241,161,463,1,-1,-1,-1
802,67,340,276,189,337,1,-1,-1,-1
808,67,329,213,195,365,1,-1,-1,-1
811,68,396,313,226,323,1,-1,-1,-1
814,69,333,134,202,392,1,-1,-1,-1
817,70,587,312,129,294,1,-1,-1,-1
823,71,328,127,198,386,1,-1,-1,-1
832,71,273,135,296,241,1,-1,-1,-1
835,72,396,348,215,288,1,-1,-1,-1
841,73,812,283,162,205,1,-1,-1,-1
841,74,357,163,334,234,1,-1,-1,-1
844,74,357,163,333,232,1,-1,-1,-1
865,75,196,23,327,260,1,-1,-1,-1
865,76,409,289,215,312,1,-1,-1,-1
865,77,581,328,135,279,1,-1,-1,-1
880,77,582,333,134,274,1,-1,-1,-1
886,78,365,310,262,326,1,-1,-1,-1
889,79,350,166,324,194,1,-1,-1,-1
895,80,575,309,141,298,1,-1,-1,-1
907,81,365,310,237,326,1,-1,-1,-1
913,82,529,343,187,263,1,-1,-1,-1
922,83,344,168,319,166,1,-1,-1,-1
949,83,315,197,309,182,1,-1,-1,-1
